film_id,title,rental_rate,rating,replacement_cost,count,valor_final_alquilado
61,Beauty Grease,4.99,G,28.99,4,19.96
63,Bedazzled Married,0.99,PG,21.99,2,1.98
66,Beneath Rush,0.99,NC-17,27.99,3,2.97
67,Berets Agent,2.99,PG-13,24.99,2,5.98
68,Betrayed Rear,4.99,NC-17,26.99,2,9.98
69,Beverly Outlaw,2.99,R,21.99,4,11.96
70,Bikini Borrowers,4.99,NC-17,26.99,2,9.98
72,Bill Others,2.99,PG,12.99,4,11.96
73,Bingo Talented,2.99,PG-13,22.99,4,11.96
74,Birch Antitrust,4.99,PG,18.99,3,14.97
76,Birdcage Casper,0.99,NC-17,23.99,3,2.97
77,Birds Perdition,4.99,G,15.99,4,19.96
78,Blackout Private,2.99,PG,12.99,3,8.97
79,Blade Polish,0.99,PG-13,10.99,3,2.97
80,Blanket Beverly,2.99,G,21.99,4,11.96
81,Blindness Gun,4.99,PG-13,29.99,4,19.96
82,Blood Argonauts,0.99,G,13.99,2,1.98
83,Blues Instinct,2.99,G,18.99,3,8.97
84,Boiled Dares,4.99,PG,13.99,4,19.96
86,Boogie Amelie,4.99,R,11.99,4,19.96
89,Borrowers Bedazzled,0.99,G,22.99,3,2.97
90,Boulevard Mob,0.99,R,11.99,3,2.97
91,Bound Cheaper,0.99,PG,17.99,4,3.96
92,Bowfinger Gables,4.99,NC-17,19.99,2,9.98
94,Braveheart Human,2.99,PG-13,14.99,2,5.98
95,Breakfast Goldfinger,4.99,G,18.99,2,9.98
96,Breaking Home,2.99,PG-13,21.99,3,8.97
97,Bride Intrigue,0.99,G,24.99,4,3.96
98,Bright Encounters,4.99,PG-13,12.99,3,14.97
99,Bringing Hysterical,2.99,PG,14.99,3,8.97
100,Brooklyn Desert,4.99,R,21.99,4,19.96
101,Brotherhood Blanket,0.99,R,26.99,4,3.96
103,Bucket Brotherhood,4.99,PG,27.99,4,19.96
105,Bull Shawshank,0.99,NC-17,21.99,2,1.98
106,Bulworth Commandments,2.99,G,14.99,2,5.98
109,Butterfly Chocolat,0.99,G,17.99,4,3.96
110,Cabin Flash,0.99,NC-17,25.99,4,3.96
112,Calendar Gunfight,4.99,NC-17,22.99,4,19.96
114,Camelot Vacation,0.99,NC-17,26.99,4,3.96
115,Campus Remember,2.99,R,27.99,3,8.97
116,Candidate Perdition,2.99,R,10.99,2,5.98
117,Candles Grapes,4.99,NC-17,15.99,4,19.96
118,Canyon Stock,0.99,R,26.99,4,3.96
119,Caper Motions,0.99,G,22.99,3,2.97
120,Caribbean Liberty,4.99,NC-17,16.99,3,14.97
121,Carol Texas,2.99,PG,15.99,3,8.97
122,Carrie Bunch,0.99,PG,11.99,4,3.96
123,Casablanca Super,4.99,G,22.99,2,9.98
127,Cat Coneheads,4.99,G,14.99,4,19.96
129,Cause Date,2.99,R,16.99,3,8.97
130,Celebrity Horn,0.99,PG-13,24.99,2,1.98
131,Center Dinosaur,4.99,PG,12.99,4,19.96
132,Chainsaw Uptown,0.99,PG,25.99,4,3.96
133,Chamber Italian,4.99,NC-17,14.99,2,9.98
135,Chance Resurrection,2.99,R,22.99,3,8.97
136,Chaplin License,2.99,NC-17,26.99,3,8.97
138,Chariots Conspiracy,2.99,R,29.99,2,5.98
139,Chasing Fight,4.99,PG,21.99,4,19.96
140,Cheaper Clyde,0.99,G,23.99,2,1.98
141,Chicago North,4.99,PG-13,11.99,3,14.97
142,Chicken Hellfighters,0.99,PG,24.99,3,2.97
143,Chill Luck,0.99,PG,17.99,4,3.96
146,Chitty Lock,2.99,G,24.99,3,8.97
147,Chocolat Harry,0.99,NC-17,16.99,3,2.97
149,Christmas Moonshine,0.99,NC-17,21.99,3,2.97
150,Cider Desire,2.99,PG,9.99,2,5.98
151,Cincinatti Whisperer,4.99,NC-17,26.99,2,9.98
152,Circus Youth,2.99,PG-13,13.99,4,11.96
153,Citizen Shrek,0.99,G,18.99,4,3.96
154,Clash Freddy,2.99,G,12.99,3,8.97
155,Cleopatra Devil,0.99,PG-13,26.99,2,1.98
158,Clones Pinocchio,2.99,R,16.99,2,5.98
159,Closer Bang,4.99,R,12.99,4,19.96
160,Club Graffiti,0.99,PG-13,12.99,2,1.98
161,Clue Grail,4.99,NC-17,27.99,2,9.98
162,Clueless Bucket,2.99,R,13.99,3,8.97
164,Coast Rainbow,0.99,PG,20.99,2,1.98
165,Coldblooded Darling,4.99,G,27.99,3,14.97
166,Color Philadelphia,2.99,G,19.99,4,11.96
167,Coma Head,4.99,NC-17,10.99,4,19.96
168,Comancheros Enemy,0.99,R,23.99,2,1.98
169,Comforts Rush,2.99,NC-17,19.99,2,5.98
170,Command Darling,4.99,PG-13,28.99,2,9.98
172,Coneheads Smoochy,4.99,NC-17,12.99,4,19.96
173,Confessions Maguire,4.99,PG-13,25.99,3,14.97
174,Confidential Interview,4.99,NC-17,13.99,4,19.96
175,Confused Candles,2.99,PG-13,27.99,2,5.98
176,Congeniality Quest,0.99,PG-13,21.99,2,1.98
178,Connection Microcosmos,0.99,G,25.99,2,1.98
179,Conquerer Nuts,4.99,G,14.99,4,19.96
181,Contact Anonymous,2.99,PG-13,10.99,3,8.97
182,Control Anthem,4.99,G,9.99,2,9.98
183,Conversation Downhill,4.99,R,14.99,3,14.97
184,Core Suit,2.99,PG-13,24.99,2,5.98
185,Cowboy Doom,2.99,PG,10.99,2,5.98
186,Craft Outfield,0.99,NC-17,17.99,2,1.98
188,Crazy Home,2.99,PG,24.99,3,8.97
189,Creatures Shakespeare,0.99,NC-17,23.99,2,1.98
191,Crooked Frogmen,0.99,PG-13,27.99,3,2.97
193,Crossroads Casualties,2.99,G,20.99,4,11.96
194,Crow Grease,0.99,PG,22.99,2,1.98
196,Cruelty Unforgiven,0.99,G,29.99,2,1.98
197,Crusade Honey,2.99,R,27.99,2,5.98
199,Cupboard Sinners,2.99,R,29.99,4,11.96
200,Curtain Videotape,0.99,PG-13,27.99,4,3.96
201,Cyclone Family,2.99,PG,18.99,4,11.96
202,Daddy Pittsburgh,4.99,G,26.99,3,14.97
204,Dalmations Sweden,0.99,PG,25.99,4,3.96
205,Dances None,0.99,NC-17,22.99,4,3.96
206,Dancing Fever,0.99,G,25.99,4,3.96
207,Dangerous Uptown,4.99,PG,26.99,4,19.96
208,Dares Pluto,2.99,PG-13,16.99,3,8.97
209,Darkness War,2.99,NC-17,24.99,4,11.96
211,Darling Breaking,4.99,PG-13,20.99,2,9.98
212,Darn Forrester,4.99,G,14.99,3,14.97
213,Date Speed,0.99,R,19.99,4,3.96
215,Dawn Pond,4.99,PG,27.99,3,14.97
216,Day Unfaithful,4.99,G,16.99,2,9.98
218,Deceiver Betrayed,0.99,NC-17,22.99,4,3.96
219,Deep Crusade,4.99,PG-13,20.99,4,19.96
220,Deer Virginian,2.99,NC-17,13.99,4,11.96
222,Desert Poseidon,4.99,R,27.99,2,9.98
224,Desperate Trainspotting,4.99,G,29.99,2,9.98
225,Destination Jerk,0.99,PG-13,19.99,3,2.97
226,Destiny Saturday,4.99,G,20.99,2,9.98
227,Details Packer,4.99,R,17.99,3,14.97
228,Detective Vision,0.99,PG-13,16.99,3,2.97
229,Devil Desire,4.99,R,12.99,2,9.98
230,Diary Panic,2.99,G,20.99,2,5.98
231,Dinosaur Secretary,2.99,R,27.99,4,11.96
232,Dirty Ace,2.99,NC-17,29.99,3,8.97
233,Disciple Mother,0.99,PG,17.99,4,3.96
234,Disturbing Scarface,2.99,R,27.99,4,11.96
235,Divide Monster,2.99,PG-13,13.99,2,5.98
237,Divorce Shining,2.99,G,21.99,2,5.98
238,Doctor Grail,2.99,G,29.99,2,5.98
239,Dogma Family,4.99,G,16.99,4,19.96
241,Donnie Alley,0.99,NC-17,20.99,4,3.96
242,Doom Dancing,0.99,R,13.99,2,1.98
243,Doors President,4.99,NC-17,22.99,2,9.98
244,Dorado Notting,4.99,NC-17,26.99,4,19.96
245,Double Wrath,0.99,R,28.99,3,2.97
247,Downhill Enough,0.99,G,19.99,3,2.97
249,Dracula Crystal,0.99,G,26.99,2,1.98
251,Dragonfly Strangers,4.99,NC-17,19.99,2,9.98
252,Dream Pickup,2.99,PG,18.99,3,8.97
253,Drifter Commandments,4.99,PG-13,18.99,4,19.96
254,Driver Annie,2.99,PG-13,11.99,2,5.98
255,Driving Polish,4.99,NC-17,21.99,4,19.96
259,Duck Racer,2.99,NC-17,15.99,2,5.98
261,Duffel Apocalypse,0.99,G,13.99,2,1.98
263,Durham Panky,4.99,R,14.99,4,19.96
265,Dying Maker,4.99,PG,28.99,4,19.96
266,Dynamite Tarzan,0.99,PG-13,27.99,4,3.96
267,Eagles Panky,4.99,NC-17,14.99,4,19.96
269,Earring Instinct,0.99,R,22.99,2,1.98
270,Earth Vision,0.99,NC-17,29.99,3,2.97
271,Easy Gladiator,4.99,G,12.99,3,14.97
272,Edge Kissing,4.99,NC-17,9.99,4,19.96
273,Effect Gladiator,0.99,PG,14.99,4,3.96
274,Egg Igby,2.99,PG,20.99,3,8.97
275,Egypt Tenenbaums,0.99,PG,11.99,3,2.97
276,Element Freddy,4.99,NC-17,28.99,4,19.96
277,Elephant Trojan,4.99,PG-13,24.99,3,14.97
278,Elf Murder,4.99,NC-17,19.99,2,9.98
279,Elizabeth Shane,4.99,NC-17,11.99,2,9.98
280,Empire Malkovich,0.99,G,26.99,4,3.96
281,Encino Elf,0.99,G,9.99,2,1.98
282,Encounters Curtain,0.99,NC-17,20.99,3,2.97
283,Ending Crowds,0.99,NC-17,10.99,3,2.97
284,Enemy Odds,4.99,NC-17,23.99,3,14.97
285,English Bulworth,0.99,PG-13,18.99,3,2.97
286,Enough Raging,2.99,NC-17,16.99,2,5.98
287,Entrapment Satisfaction,0.99,R,19.99,2,1.98
288,Escape Metropolis,2.99,R,20.99,2,5.98
289,Eve Resurrection,4.99,G,25.99,2,9.98
290,Everyone Craft,0.99,PG,29.99,3,2.97
291,Evolution Alter,0.99,PG-13,10.99,4,3.96
292,Excitement Eve,0.99,G,20.99,3,2.97
293,Exorcist Sting,2.99,G,17.99,2,5.98
294,Expecations Natural,4.99,PG-13,26.99,2,9.98
295,Expendable Stallion,0.99,PG,14.99,4,3.96
296,Express Lonely,2.99,R,23.99,4,11.96
298,Eyes Driving,2.99,PG-13,13.99,2,5.98
299,Factory Dragon,0.99,PG-13,9.99,4,3.96
300,Falcon Volume,4.99,PG-13,21.99,2,9.98
301,Family Sweet,0.99,R,24.99,4,3.96
302,Fantasia Park,2.99,G,29.99,2,5.98
303,Fantasy Troopers,0.99,PG-13,27.99,4,3.96
304,Fargo Gandhi,2.99,G,28.99,4,11.96
305,Fatal Haunted,2.99,PG,24.99,4,11.96
306,Feathers Metal,0.99,PG-13,12.99,3,2.97
307,Fellowship Autumn,4.99,NC-17,9.99,3,14.97
308,Ferris Mother,2.99,PG,13.99,2,5.98
309,Feud Frogmen,0.99,R,29.99,2,1.98
310,Fever Empire,4.99,R,20.99,2,9.98
311,Fiction Christmas,0.99,PG,14.99,3,2.97
313,Fidelity Devil,4.99,G,11.99,4,19.96
314,Fight Jawbreaker,0.99,R,13.99,2,1.98
317,Fireball Philadelphia,0.99,PG,25.99,4,3.96
319,Fish Opus,2.99,R,22.99,3,8.97
320,Flamingos Connecticut,4.99,PG-13,28.99,3,14.97
321,Flash Wars,4.99,NC-17,21.99,4,19.96
322,Flatliners Killer,2.99,G,29.99,4,11.96
324,Flintstones Happiness,4.99,PG-13,11.99,3,14.97
326,Flying Hook,2.99,NC-17,18.99,2,5.98
327,Fool Mockingbird,4.99,PG,24.99,4,19.96
329,Forrest Sons,2.99,R,15.99,3,8.97
330,Forrester Comancheros,4.99,NC-17,22.99,4,19.96
331,Forward Temple,2.99,NC-17,25.99,4,11.96
333,Freaky Pocus,2.99,R,16.99,2,5.98
334,Freddy Storm,4.99,NC-17,21.99,2,9.98
335,Freedom Cleopatra,0.99,PG-13,23.99,2,1.98
336,French Holiday,4.99,PG,22.99,3,14.97
337,Frida Slipper,2.99,R,11.99,2,5.98
340,Frontier Cabin,4.99,PG-13,14.99,2,9.98
341,Frost Head,0.99,PG,13.99,4,3.96
342,Fugitive Maguire,4.99,R,28.99,4,19.96
343,Full Flatliners,2.99,PG,14.99,2,5.98
344,Fury Murder,0.99,PG-13,28.99,3,2.97
345,Gables Metropolis,0.99,PG,17.99,3,2.97
346,Galaxy Sweethearts,4.99,R,13.99,2,9.98
347,Games Bowfinger,4.99,PG-13,17.99,4,19.96
349,Gangs Pride,2.99,PG-13,27.99,4,11.96
350,Garden Island,4.99,G,21.99,4,19.96
351,Gaslight Crusade,2.99,PG,10.99,3,8.97
353,Gentlemen Stage,2.99,NC-17,22.99,2,5.98
354,Ghost Groundhog,4.99,G,18.99,3,14.97
356,Giant Troopers,2.99,R,10.99,4,11.96
358,Gilmore Boiled,0.99,R,29.99,4,3.96
360,Glass Dying,0.99,G,24.99,4,3.96
361,Gleaming Jawbreaker,2.99,NC-17,25.99,4,11.96
362,Glory Tracy,2.99,PG-13,13.99,2,5.98
363,Go Purple,0.99,R,12.99,3,2.97
364,Godfather Diary,2.99,NC-17,14.99,3,8.97
365,Gold River,4.99,R,21.99,2,9.98
366,Goldfinger Sensibility,0.99,G,29.99,4,3.96
367,Goldmine Tycoon,0.99,R,20.99,4,3.96
368,Gone Trouble,2.99,R,20.99,2,5.98
369,Goodfellas Salute,4.99,PG,22.99,4,19.96
370,Gorgeous Bingo,2.99,R,26.99,3,8.97
371,Gosford Donnie,4.99,G,17.99,3,14.97
372,Graceland Dynamite,4.99,R,26.99,2,9.98
373,Graduate Lord,2.99,G,14.99,3,8.97
374,Graffiti Love,0.99,PG,29.99,3,2.97
375,Grail Frankenstein,2.99,NC-17,17.99,2,5.98
376,Grapes Fury,0.99,G,20.99,4,3.96
377,Grease Youth,0.99,G,20.99,3,2.97
378,Greatest North,2.99,NC-17,24.99,4,11.96
380,Greek Everyone,2.99,PG,11.99,2,5.98
381,Grinch Massage,4.99,R,25.99,2,9.98
382,Grit Clockwork,0.99,PG,21.99,4,3.96
383,Groove Fiction,0.99,NC-17,13.99,3,2.97
385,Groundhog Uncut,4.99,PG-13,26.99,2,9.98
387,Gun Bonnie,0.99,G,27.99,3,2.97
388,Gunfight Moon,0.99,NC-17,16.99,3,2.97
389,Gunfighter Mussolini,2.99,PG-13,9.99,2,5.98
390,Guys Falcon,4.99,R,20.99,3,14.97
391,Half Outfield,2.99,PG-13,25.99,4,11.96
392,Hall Cassidy,4.99,NC-17,13.99,4,19.96
393,Halloween Nuts,2.99,PG-13,19.99,2,5.98
394,Hamlet Wisdom,2.99,R,21.99,4,11.96
395,Handicap Boondock,0.99,R,28.99,3,2.97
397,Hanky October,2.99,NC-17,26.99,3,8.97
400,Hardly Robbers,2.99,R,15.99,2,5.98
401,Harold French,0.99,NC-17,10.99,2,1.98
402,Harper Dying,0.99,G,15.99,3,2.97
403,Harry Idaho,4.99,PG-13,18.99,4,19.96
406,Haunting Pianist,0.99,R,22.99,2,1.98
407,Hawk Chill,0.99,PG-13,12.99,2,1.98
408,Head Stranger,4.99,R,28.99,4,19.96
409,Heartbreakers Bright,4.99,G,9.99,4,19.96
410,Heaven Freedom,2.99,PG,19.99,3,8.97
411,Heavenly Gun,4.99,NC-17,13.99,2,9.98
412,Heavyweights Beast,4.99,G,25.99,4,19.96
413,Hedwig Alter,2.99,NC-17,16.99,3,8.97
414,Hellfighters Sierra,2.99,PG,23.99,3,8.97
415,High Encino,2.99,R,23.99,3,8.97
416,Highball Potter,0.99,R,10.99,2,1.98
417,Hills Neighbors,0.99,G,29.99,4,3.96
418,Hobbit Alien,0.99,PG-13,27.99,4,3.96
420,Holes Brannigan,4.99,PG,27.99,2,9.98
423,Hollywood Anonymous,0.99,PG,29.99,2,1.98
424,Holocaust Highball,0.99,R,12.99,3,2.97
427,Homeward Cider,0.99,R,19.99,4,3.96
428,Homicide Peach,2.99,PG-13,21.99,4,11.96
429,Honey Ties,0.99,R,29.99,2,1.98
432,Hope Tootsie,2.99,NC-17,22.99,3,8.97
433,Horn Working,2.99,PG,23.99,4,11.96
434,Horror Reign,0.99,R,25.99,4,3.96
435,Hotel Happiness,4.99,PG-13,28.99,2,9.98
436,Hours Rage,0.99,NC-17,14.99,3,2.97
437,House Dynamite,2.99,R,13.99,2,5.98
438,Human Graffiti,2.99,NC-17,22.99,2,5.98
439,Hunchback Impossible,4.99,PG-13,28.99,4,19.96
440,Hunger Roof,0.99,G,21.99,2,1.98
441,Hunter Alter,2.99,PG-13,21.99,2,5.98
442,Hunting Musketeers,2.99,NC-17,24.99,3,8.97
443,Hurricane Affair,2.99,PG,11.99,3,8.97
444,Hustler Party,4.99,NC-17,22.99,4,19.96
445,Hyde Doctor,2.99,G,11.99,3,8.97
446,Hysterical Grail,4.99,PG,19.99,2,9.98
447,Ice Crossing,2.99,R,28.99,4,11.96
448,Idaho Love,2.99,PG-13,25.99,2,5.98
450,Idols Snatchers,2.99,NC-17,29.99,3,8.97
451,Igby Maker,4.99,NC-17,12.99,2,9.98
453,Image Princess,2.99,PG-13,17.99,3,8.97
454,Impact Aladdin,0.99,PG-13,20.99,2,1.98
455,Impossible Prejudice,4.99,NC-17,11.99,4,19.96
456,Inch Jet,4.99,NC-17,18.99,2,9.98
457,Independence Hotel,0.99,NC-17,21.99,2,1.98
458,Indian Love,0.99,NC-17,26.99,2,1.98
460,Innocent Usual,4.99,PG-13,26.99,4,19.96
461,Insects Stone,0.99,NC-17,14.99,2,1.98
462,Insider Arizona,2.99,NC-17,17.99,2,5.98
463,Instinct Airport,2.99,PG,21.99,3,8.97
464,Intentions Empire,2.99,PG-13,13.99,4,11.96
465,Interview Liaisons,4.99,R,17.99,2,9.98
466,Intolerable Intentions,4.99,PG-13,20.99,2,9.98
467,Intrigue Worst,0.99,G,10.99,4,3.96
468,Invasion Cyclone,2.99,PG,12.99,4,11.96
470,Ishtar Rocketeer,4.99,R,24.99,2,9.98
471,Island Exorcist,2.99,NC-17,23.99,3,8.97
473,Jacket Frisco,2.99,PG-13,16.99,2,5.98
476,Jason Trap,2.99,NC-17,9.99,3,8.97
478,Jaws Harry,2.99,G,10.99,2,5.98
479,Jedi Beneath,0.99,PG,12.99,2,1.98
480,Jeepers Wedding,2.99,R,29.99,2,5.98
481,Jekyll Frogmen,2.99,PG,22.99,3,8.97
482,Jeopardy Encino,0.99,R,12.99,3,2.97
483,Jericho Mulan,2.99,NC-17,29.99,3,8.97
484,Jerk Paycheck,2.99,NC-17,13.99,4,11.96
486,Jet Neighbors,4.99,R,14.99,4,19.96
488,Joon Northwest,0.99,NC-17,23.99,2,1.98
489,Juggler Hardly,0.99,PG-13,14.99,4,3.96
490,Jumanji Blade,2.99,G,13.99,2,5.98
491,Jumping Wrath,0.99,NC-17,18.99,2,1.98
492,Jungle Closer,0.99,NC-17,11.99,2,1.98
494,Karate Moon,0.99,PG-13,21.99,4,3.96
496,Kick Savannah,0.99,PG-13,10.99,2,1.98
498,Killer Innocent,2.99,R,11.99,2,5.98
499,King Evolution,4.99,NC-17,24.99,2,9.98
500,Kiss Glory,4.99,PG-13,11.99,4,19.96
501,Kissing Dolls,4.99,R,9.99,3,14.97
502,Knock Warlock,2.99,PG-13,21.99,4,11.96
503,Kramer Chocolate,2.99,R,24.99,3,8.97
504,Kwai Homeward,0.99,PG-13,25.99,4,3.96
506,Lady Stage,4.99,PG,14.99,4,19.96
510,Lawless Vision,4.99,G,29.99,4,19.96
511,Lawrence Love,0.99,NC-17,23.99,2,1.98
512,League Hellfighters,4.99,PG-13,25.99,2,9.98
514,Lebowski Soldiers,2.99,PG-13,17.99,2,5.98
518,Liaisons Sweet,4.99,PG,15.99,2,9.98
520,License Weekend,2.99,NC-17,28.99,2,5.98
521,Lies Treatment,4.99,NC-17,28.99,4,19.96
523,Lights Deer,0.99,R,21.99,2,1.98
524,Lion Uncut,0.99,PG,13.99,2,1.98
525,Loathing Legally,0.99,R,29.99,4,3.96
527,Lola Agent,4.99,PG,24.99,2,9.98
528,Lolita World,2.99,NC-17,25.99,3,8.97
529,Lonely Elephant,2.99,G,12.99,4,11.96
530,Lord Arizona,2.99,PG-13,27.99,3,8.97
531,Lose Inch,0.99,R,18.99,4,3.96
533,Lost Bird,2.99,PG-13,21.99,3,8.97
534,Louisiana Harry,0.99,PG-13,18.99,2,1.98
535,Love Suicides,0.99,R,21.99,4,3.96
536,Lovely Jingle,2.99,PG,18.99,3,8.97
539,Luck Opus,2.99,NC-17,21.99,2,5.98
540,Lucky Flying,2.99,PG-13,10.99,3,8.97
542,Lust Lock,2.99,G,28.99,4,11.96
543,Madigan Dorado,4.99,R,20.99,2,9.98
544,Madison Trap,2.99,R,11.99,2,5.98
545,Madness Attacks,0.99,PG-13,14.99,4,3.96
548,Magnificent Chitty,2.99,R,27.99,2,5.98
549,Magnolia Forrester,0.99,PG-13,28.99,2,1.98
550,Maguire Apache,2.99,NC-17,22.99,3,8.97
551,Maiden Home,4.99,PG,9.99,3,14.97
554,Malkovich Pet,2.99,G,22.99,4,11.96
555,Mallrats United,0.99,PG,25.99,3,2.97
556,Maltese Hope,4.99,PG-13,26.99,3,14.97
557,Manchurian Curtain,2.99,PG,27.99,2,5.98
559,Married Go,2.99,G,22.99,4,11.96
560,Mars Roman,0.99,NC-17,21.99,3,2.97
561,Mask Peach,2.99,NC-17,26.99,4,11.96
562,Masked Bubble,0.99,PG-13,12.99,4,3.96
563,Massacre Usual,4.99,R,16.99,4,19.96
565,Matrix Snowman,4.99,PG-13,9.99,2,9.98
566,Maude Mod,0.99,R,20.99,2,1.98
567,Meet Chocolate,2.99,G,26.99,2,5.98
568,Memento Zoolander,4.99,NC-17,11.99,2,9.98
569,Menagerie Rushmore,2.99,G,18.99,2,5.98
570,Mermaid Insects,4.99,NC-17,20.99,2,9.98
571,Metal Armageddon,2.99,PG-13,26.99,2,5.98
572,Metropolis Coma,2.99,PG-13,9.99,4,11.96
573,Microcosmos Paradise,2.99,PG-13,22.99,4,11.96
574,Midnight Westward,0.99,G,19.99,2,1.98
575,Midsummer Groundhog,4.99,G,27.99,2,9.98
577,Mile Mulan,0.99,PG,10.99,3,2.97
578,Million Ace,4.99,PG-13,16.99,2,9.98
579,Minds Truman,4.99,PG-13,22.99,4,19.96
580,Mine Titans,4.99,PG-13,12.99,4,19.96
581,Minority Kiss,0.99,G,16.99,3,2.97
583,Mission Zoolander,4.99,PG-13,26.99,3,14.97
584,Mixed Doors,2.99,PG-13,26.99,2,5.98
586,Mockingbird Hollywood,0.99,PG,27.99,4,3.96
587,Mod Secretary,4.99,NC-17,20.99,3,14.97
590,Money Harold,2.99,PG,17.99,3,8.97
592,Monster Spartacus,2.99,PG,28.99,2,5.98
594,Montezuma Command,0.99,NC-17,22.99,3,2.97
595,Moon Bunch,0.99,PG,20.99,4,3.96
596,Moonshine Cabin,4.99,PG-13,25.99,2,9.98
598,Mosquito Armageddon,0.99,G,22.99,4,3.96
599,Mother Oleander,0.99,R,20.99,3,2.97
600,Motions Details,0.99,PG,16.99,2,1.98
601,Moulin Wake,0.99,PG-13,20.99,3,2.97
602,Mourning Purple,0.99,PG,14.99,2,1.98
603,Movie Shakespeare,4.99,PG,27.99,4,19.96
606,Mummy Creatures,0.99,NC-17,15.99,2,1.98
608,Murder Antitrust,2.99,PG,11.99,2,5.98
609,Muscle Bright,2.99,G,23.99,4,11.96
610,Music Boondock,0.99,R,17.99,2,1.98
611,Musketeers Wait,4.99,PG,17.99,4,19.96
613,Mystic Truman,0.99,NC-17,19.99,2,1.98
614,Name Detective,4.99,PG-13,11.99,3,14.97
616,National Story,2.99,NC-17,19.99,2,5.98
617,Natural Stock,0.99,PG-13,24.99,3,2.97
619,Neighbors Charade,0.99,R,20.99,2,1.98
620,Nemo Campus,2.99,NC-17,23.99,2,5.98
621,Network Peak,2.99,PG-13,23.99,4,11.96
623,Newton Labyrinth,0.99,PG,9.99,2,1.98
624,Nightmare Chill,4.99,PG,25.99,3,14.97
625,None Spiking,0.99,NC-17,18.99,3,2.97
628,Northwest Polish,2.99,PG,24.99,3,8.97
631,Novocaine Flight,0.99,G,11.99,3,2.97
632,Nuts Ties,4.99,NC-17,10.99,3,14.97
636,Oleander Clue,0.99,PG,12.99,3,2.97
637,Open African,4.99,PG,16.99,2,9.98
638,Operation Operation,2.99,G,23.99,4,11.96
641,Orange Grapes,0.99,PG-13,21.99,3,2.97
643,Orient Closer,2.99,R,22.99,3,8.97
644,Oscar Gold,2.99,PG,29.99,3,8.97
645,Others Soup,2.99,PG,18.99,3,8.97
646,Outbreak Divine,0.99,NC-17,12.99,3,2.97
647,Outfield Massacre,0.99,NC-17,18.99,3,2.97
648,Outlaw Hanky,4.99,PG-13,17.99,4,19.96
649,Oz Liaisons,2.99,R,14.99,2,5.98
650,Pacific Amistad,0.99,G,27.99,2,1.98
651,Packer Madigan,0.99,PG-13,20.99,2,1.98
652,Pajama Jawbreaker,0.99,R,14.99,4,3.96
653,Panic Club,4.99,G,15.99,2,9.98
654,Panky Submarine,4.99,G,19.99,2,9.98
655,Panther Reds,4.99,NC-17,22.99,3,14.97
657,Paradise Sabrina,2.99,PG-13,12.99,4,11.96
660,Party Knock,2.99,PG,11.99,2,5.98
661,Past Suicides,4.99,PG-13,17.99,4,19.96
662,Paths Control,4.99,PG,9.99,2,9.98
